Full_name,ST,CC,Year,blaZ_1.match,erm_C_.match,fusC.match,str.match
B153_F97_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B154_F98_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B155_F99_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B156_F100_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B157_F101_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B158_F102_Y02_ST6162_CC97,ST6162,CC97,Y02,1,0,0,0
B159_F103_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B160_F104_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B161_F105_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B162_F106_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B163_F107_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B164_F108_Y02_ST71_CC97,ST71,CC97,Y02,1,0,0,0
B165_F109_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B166_F111_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B167_F112_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B168_F113_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B169_F114_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B170_F115_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B171_F116_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B172_F117_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B173_F118_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B174_F119_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B175_F120_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B176_F121_Y02_ST6165_CC133,ST6165,CC133,Y02,0,0,0,0
B177_F122_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B178_F123_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B179_F124_Y02_ST151_CC151,ST151,CC151,Y02,0,0,0,0
B180_F125_Y02_ST6164_CC97,ST6164,CC97,Y02,0,0,0,0
B181_F126_Y02_ST1_CC1,ST1,CC1,Y02,1,0,0,1
B182_F127_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B183_F128_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B184_F129_Y02_ST151_CC151,ST151,CC151,Y02,0,0,0,0
B185_F130_Y02_ST1_CC1,ST1,CC1,Y02,1,0,0,0
B186_F131_Y02_ST1_CC1,ST1,CC1,Y02,1,1,0,0
B187_F132_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B188_F133_Y02_ST1_CC1,ST1,CC1,Y02,0,0,0,0
B189_F37_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
